international_id	goals	assists	num_of_shots	shot_speed	shot_attempts	shooting_percentage	high_danger_shots	medium_danger_shots	low_danger_shots	save_percentage	winning_goals	power_play_time	power_play_goals	time_on_ice	faceoff_win_percentage	puck_touches	puck_recoveries	puck_possession_time	penalty_kill_time	penality_minutes	penalties_taken	time_between_penalties	goals_against_total	goals_against_average	passes_attempted	passes_completed	pass_completion_rate	games_missed_due_to_injury
5919	126.0	163.0	465.0	64.4906	473.0	21.4662	147.0	186.0	140.0	54.383	0.0	1.496	133.0	4.18	56.9752	1960.0	282.0	107.31	4.19	15.0	1.0	2.9	0.0	0.0	1143.0	955.0	83.55	20.0
966	93.0	170.0	440.0	73.6231	470.0	16.8802	147.0	156.0	167.0	74.324	0.0	3.9489	108.0	17.31	56.6331	680.0	300.0	8.45	2.65	12.0	1.0	9.28	0.0	0.0	634.0	491.0	77.44	21.0
5807	85.0	122.0	446.0	46.2275	495.0	39.494	165.0	201.0	129.0	59.8747	4.0	4.2311	86.0	4.07	46.5426	180.0	304.0	10.41	3.25	14.0	1.0	2.49	0.0	0.0	349.0	118.0	33.81	13.0
374	95.0	245.0	450.0	76.4214	466.0	23.4514	137.0	172.0	157.0	74.9268	5.0	2.9417	134.0	5.6	55.2276	420.0	98.0	8.92	4.71	18.0	1.0	3.81	0.0	0.0	594.0	382.0	64.31	27.0
615	122.0	144.0	454.0	104.9665	488.0	17.8667	151.0	171.0	166.0	63.7838	3.0	4.2494	123.0	9.45	41.0721	1250.0	612.0	41.66	5.96	6.0	4.0	1.52	0.0	0.0	869.0	521.0	59.95	20.0
2636	30.0	170.0	474.0	84.9926	491.0	34.6659	144.0	188.0	159.0	60.7872	6.0	5.1442	70.0	4.67	41.9006	123.0	321.0	0.0	4.07	24.0	0.0	6.65	0.0	0.0	403.0	199.0	49.38	19.0
1864	79.0	227.0	424.0	67.1769	449.0	3.2607	139.0	127.0	183.0	54.1382	0.0	2.9218	116.0	6.84	58.324	74.0	152.0	1.58	3.21	18.0	0.0	10.51	27.0	44.76	418.0	95.0	22.73	23.0
7544	77.0	157.0	479.0	79.5121	494.0	15.6605	172.0	180.0	142.0	76.6602	4.0	3.0592	95.0	8.52	58.1429	355.0	112.0	3.87	5.46	16.0	1.0	3.64	0.0	0.0	456.0	390.0	85.53	17.0
7067	69.0	151.0	447.0	84.805	469.0	3.6642	147.0	185.0	137.0	85.7729	0.0	6.3917	87.0	37.7	55.6462	156.0	216.0	9.74	5.78	39.0	0.0	8.5	0.0	0.0	415.0	263.0	63.37	19.0
7622	76.0	178.0	452.0	147.2046	462.0	29.8436	153.0	170.0	139.0	78.5781	0.0	4.141	98.0	9.71	52.1524	290.0	137.0	27.13	5.44	17.0	0.0	11.64	0.0	0.0	434.0	397.0	91.47	17.0
609	109.0	217.0	468.0	79.6717	468.0	9.0542	130.0	187.0	151.0	78.405	6.0	1.7003	136.0	4.9	53.3126	236.0	206.0	0.0	2.42	36.0	0.0	7.75	9.0	15.98	471.0	275.0	58.39	23.0
9906	94.0	150.0	488.0	119.2542	525.0	13.4874	158.0	171.0	196.0	72.4152	7.0	3.0954	107.0	7.9	56.7346	1360.0	266.0	43.47	5.41	18.0	1.0	2.05	0.0	0.0	876.0	697.0	79.57	20.0
4608	74.0	211.0	453.0	84.1683	488.0	30.1374	168.0	183.0	137.0	58.6515	0.0	4.6115	110.0	18.39	51.7469	292.0	240.0	28.67	2.51	9.0	0.0	17.62	0.0	0.0	524.0	356.0	67.94	28.0
6547	101.0	169.0	475.0	60.2056	490.0	29.7418	156.0	154.0	180.0	65.1974	4.0	5.0309	114.0	22.02	41.5818	520.0	504.0	3.86	0.0	15.0	1.0	12.44	0.0	0.0	573.0	264.0	46.07	24.0
4244	88.0	194.0	440.0	141.0218	445.0	18.5583	146.0	152.0	147.0	51.6881	4.0	6.8631	118.0	8.05	51.2011	326.0	161.0	0.96	5.54	20.0	0.0	7.39	0.0	0.0	512.0	433.0	84.57	21.0
2192	95.0	208.0	446.0	116.6669	474.0	29.5519	157.0	151.0	166.0	55.1241	9.0	2.7172	120.0	22.88	60.4968	920.0	168.0	8.84	0.72	1.0	0.0	37.1	0.0	0.0	741.0	580.0	78.27	28.0
7547	78.0	226.0	441.0	155.904	469.0	24.3421	141.0	161.0	167.0	81.2269	0.0	3.2298	120.0	12.9	50.6432	660.0	314.0	28.21	4.2	24.0	1.0	8.59	0.0	0.0	710.0	509.0	71.69	24.0
2748	51.0	172.0	452.0	77.2716	487.0	27.7971	148.0	143.0	196.0	69.964	0.0	2.6548	82.0	20.62	61.8003	1040.0	165.0	57.65	2.41	2.0	1.0	7.7	0.0	0.0	810.0	765.0	94.44	27.0
4870	118.0	158.0	425.0	80.8179	441.0	8.7572	143.0	154.0	144.0	64.2742	6.0	8.8214	121.0	4.61	46.5382	539.0	333.0	0.0	6.68	30.0	1.0	4.12	0.0	0.0	586.0	418.0	71.33	21.0
9638	75.0	163.0	438.0	87.5797	451.0	22.1111	149.0	112.0	190.0	67.6752	0.0	4.1778	93.0	9.56	51.1244	530.0	165.0	20.4	3.3	23.0	0.0	14.97	12.0	18.6	533.0	309.0	57.97	17.0
695	85.0	156.0	441.0	148.7958	441.0	9.3692	140.0	163.0	138.0	59.9898	0.0	1.9269	96.0	7.54	54.3853	343.0	94.0	2.67	4.58	20.0	0.0	6.63	18.0	28.65	429.0	352.0	82.05	16.0
751	59.0	196.0	417.0	127.1747	456.0	42.9786	156.0	145.0	155.0	61.8539	8.0	4.8406	95.0	6.31	57.0397	246.0	219.0	0.0	3.22	2.0	0.0	4.66	24.0	41.77	449.0	195.0	43.43	23.0
9019	125.0	150.0	463.0	122.0622	475.0	24.9896	150.0	181.0	144.0	62.8882	5.0	7.2909	123.0	8.48	62.5982	445.0	191.0	0.0	4.76	37.0	0.0	14.39	0.0	0.0	503.0	83.0	16.5	18.0
9141	61.0	163.0	464.0	123.5491	484.0	50.1884	133.0	180.0	171.0	69.068	3.0	1.869	85.0	24.24	46.5469	1060.0	81.0	34.28	0.78	19.0	0.0	52.59	0.0	0.0	807.0	763.0	94.55	22.0
7320	81.0	210.0	455.0	134.6176	499.0	26.5167	145.0	166.0	188.0	66.8295	5.0	2.5281	113.0	23.35	38.1642	690.0	123.0	9.99	0.29	22.0	1.0	11.0	21.0	18.79	673.0	330.0	49.03	24.0
7074	74.0	213.0	469.0	130.798	473.0	13.5165	167.0	137.0	169.0	68.7514	0.0	2.4141	109.0	7.25	57.2107	222.0	122.0	0.0	4.93	29.0	0.0	7.41	0.0	0.0	529.0	286.0	54.06	30.0
1327	103.0	209.0	423.0	77.6659	439.0	38.5015	142.0	135.0	162.0	59.3577	7.0	2.6238	123.0	4.99	46.0604	100.0	33.0	0.0	4.57	15.0	0.0	3.07	0.0	0.0	488.0	211.0	43.24	28.0
696	123.0	172.0	446.0	111.2619	462.0	18.5149	157.0	159.0	146.0	56.3185	0.0	2.8168	133.0	8.44	53.6309	97.0	74.0	0.0	5.14	15.0	2.0	2.55	0.0	0.0	408.0	360.0	88.24	15.0
10	64.0	205.0	410.0	92.096	437.0	71.3468	136.0	130.0	171.0	80.0864	7.0	2.8295	101.0	10.57	53.5296	660.0	287.0	15.8	2.88	31.0	0.0	20.25	14.0	21.08	670.0	308.0	45.97	21.0
9104	83.0	181.0	446.0	90.8959	446.0	40.7479	133.0	132.0	181.0	58.5655	2.0	3.2403	102.0	9.14	56.8508	170.0	45.0	6.86	4.31	22.0	0.0	14.24	0.0	0.0	437.0	338.0	77.35	18.0
8777	63.0	259.0	76.0	137.6847	456.0	11.0419	156.0	109.0	191.0	76.7228	5.0	2.314	116.0	24.75	38.6736	134.0	114.0	0.0	0.54	2.0	0.0	30.63	0.0	0.0	514.0	493.0	95.91	30.0
4511	78.0	176.0	412.0	126.4692	440.0	20.5455	152.0	143.0	145.0	69.6461	7.0	1.8274	100.0	7.97	61.2049	1140.0	45.0	49.21	3.65	25.0	0.0	7.04	8.0	13.15	811.0	628.0	77.44	21.0
9391	149.0	152.0	503.0	86.2221	509.0	29.8203	163.0	174.0	172.0	50.1869	0.0	1.3598	141.0	9.19	51.6639	114.0	70.0	0.0	4.67	9.0	0.0	8.34	19.0	27.73	374.0	343.0	91.71	21.0
4569	119.0	136.0	448.0	107.4177	486.0	20.8009	144.0	160.0	182.0	68.764	7.0	3.8352	116.0	5.21	50.9326	560.0	61.0	0.0	5.73	17.0	1.0	5.12	0.0	0.0	543.0	512.0	94.29	21.0
5229	152.0	128.0	416.0	98.3166	433.0	26.7718	134.0	137.0	162.0	72.0319	3.0	3.3093	138.0	14.94	38.3801	124.0	86.0	0.0	4.06	1.0	0.0	24.71	0.0	0.0	336.0	274.0	81.55	15.0
1891	62.0	185.0	420.0	78.6731	456.0	22.1671	161.0	117.0	178.0	76.0915	10.0	1.8996	92.0	15.36	46.4252	444.0	206.0	0.0	4.63	14.0	3.0	6.04	0.0	0.0	567.0	205.0	36.16	22.0
115	154.0	166.0	438.0	79.2192	446.0	20.8702	140.0	158.0	148.0	58.3022	8.0	2.5087	154.0	2.01	56.9076	1030.0	162.0	28.96	3.45	18.0	3.0	0.88	0.0	0.0	783.0	464.0	59.26	19.0
6036	62.0	165.0	485.0	119.8117	523.0	21.4392	164.0	184.0	175.0	79.2177	0.0	1.4407	85.0	9.7	38.5471	160.0	321.0	1.99	5.25	19.0	0.0	10.62	0.0	0.0	409.0	354.0	86.55	24.0
1751	131.0	187.0	424.0	119.6058	424.0	29.553	123.0	155.0	146.0	50.5774	13.0	2.4491	143.0	15.39	52.9639	92.0	206.0	4.53	4.02	4.0	2.0	3.85	0.0	0.0	432.0	261.0	60.42	26.0
8801	129.0	139.0	408.0	79.7137	442.0	47.7916	133.0	186.0	123.0	67.7634	4.0	1.6878	123.0	9.19	48.1161	820.0	226.0	13.09	4.6	9.0	1.0	5.81	0.0	0.0	621.0	352.0	56.68	17.0
3492	48.0	173.0	440.0	71.7735	462.0	18.0701	120.0	132.0	210.0	85.9796	6.0	1.6076	81.0	6.06	47.6825	275.0	235.0	39.43	4.74	14.0	0.0	8.71	0.0	0.0	435.0	374.0	85.98	23.0
8640	143.0	202.0	413.0	83.7876	433.0	26.4103	155.0	122.0	156.0	47.4621	0.0	3.0667	153.0	4.07	58.8528	192.0	174.0	0.0	3.93	30.0	0.0	4.53	0.0	0.0	478.0	462.0	96.65	21.0
8294	84.0	178.0	407.0	72.0011	434.0	25.3237	131.0	153.0	150.0	77.916	5.0	3.054	101.0	4.51	53.4282	184.0	248.0	0.0	3.98	13.0	0.0	6.66	0.0	0.0	433.0	407.0	94.0	25.0
4136	85.0	193.0	430.0	76.6504	438.0	29.7968	132.0	143.0	163.0	58.5125	7.0	4.0755	109.0	7.31	40.0818	450.0	55.0	0.0	5.9	41.0	0.0	5.69	0.0	0.0	545.0	313.0	57.43	21.0
266	89.0	164.0	478.0	98.3478	485.0	29.0268	136.0	161.0	188.0	66.2337	8.0	4.0485	102.0	17.23	51.0058	211.0	172.0	0.0	3.87	21.0	2.0	6.61	0.0	0.0	444.0	213.0	47.97	21.0
2733	79.0	153.0	454.0	136.2762	486.0	39.0009	166.0	156.0	164.0	59.4114	6.0	5.9111	92.0	15.64	53.9123	800.0	240.0	35.11	3.38	9.0	0.0	20.11	0.0	0.0	669.0	478.0	71.45	21.0
442	70.0	153.0	439.0	135.251	441.0	30.0843	148.0	172.0	121.0	82.385	0.0	3.2964	89.0	5.47	48.1548	429.0	90.0	10.37	3.91	20.0	1.0	1.32	0.0	0.0	491.0	111.0	22.61	16.0
187	63.0	214.0	460.0	82.5192	486.0	16.4542	149.0	164.0	173.0	74.035	8.0	1.5891	105.0	7.46	42.788	1020.0	205.0	45.88	4.06	20.0	0.0	4.45	0.0	0.0	827.0	224.0	27.09	22.0
9148	70.0	120.0	461.0	70.0483	486.0	21.6981	160.0	199.0	127.0	88.2767	0.0	2.3222	78.0	4.78	46.3364	269.0	167.0	3.92	1.53	29.0	0.0	8.92	7.0	13.55	351.0	230.0	65.53	15.0
5417	77.0	148.0	445.0	111.1338	457.0	34.8217	141.0	125.0	191.0	68.0056	0.0	3.8932	91.0	12.12	44.0905	307.0	114.0	10.36	3.63	18.0	0.0	15.08	0.0	0.0	416.0	223.0	53.61	21.0
9423	90.0	222.0	445.0	115.034	452.0	19.4081	148.0	153.0	151.0	59.4089	4.0	7.4072	121.0	5.37	47.2206	283.0	152.0	30.23	2.59	31.0	0.0	3.54	20.0	32.18	514.0	151.0	29.38	22.0
6500	79.0	180.0	444.0	92.9749	470.0	35.0629	161.0	175.0	134.0	71.484	0.0	3.1541	108.0	17.1	52.2351	670.0	348.0	9.35	2.77	17.0	2.0	4.65	0.0	0.0	665.0	218.0	32.78	18.0
7633	109.0	183.0	406.0	86.414	406.0	11.8684	129.0	115.0	162.0	59.6078	3.0	1.9296	124.0	7.98	37.884	316.0	233.0	13.52	3.83	15.0	0.0	4.75	18.0	28.12	437.0	364.0	83.3	22.0
3080	90.0	203.0	466.0	127.0178	477.0	34.3047	148.0	175.0	154.0	64.2115	9.0	4.7112	118.0	2.54	58.6565	146.0	213.0	0.0	3.17	12.0	3.0	0.65	16.0	26.72	415.0	278.0	66.99	16.0
535	84.0	219.0	419.0	129.0645	447.0	20.5414	161.0	125.0	161.0	75.1303	2.0	1.8239	119.0	9.59	57.0413	1220.0	279.0	22.23	5.49	1.0	2.0	6.49	0.0	0.0	909.0	581.0	63.92	28.0
6376	96.0	157.0	436.0	92.5861	457.0	13.7044	141.0	157.0	159.0	69.747	7.0	2.4098	108.0	3.29	53.2931	700.0	272.0	7.61	3.44	16.0	0.0	4.07	0.0	0.0	598.0	469.0	78.43	15.0
8876	90.0	187.0	448.0	69.8638	460.0	40.0828	139.0	182.0	139.0	66.1639	5.0	2.5101	113.0	7.42	45.2606	690.0	154.0	10.8	5.18	18.0	2.0	5.42	0.0	0.0	648.0	499.0	77.01	25.0
3818	78.0	177.0	433.0	63.0776	447.0	47.3324	121.0	173.0	153.0	71.8308	3.0	3.1963	100.0	6.13	50.4521	87.0	59.0	0.0	3.45	35.0	0.0	4.96	0.0	0.0	393.0	229.0	58.27	18.0
6827	77.0	121.0	488.0	92.8382	505.0	33.7548	155.0	143.0	207.0	64.311	10.0	2.1683	85.0	6.44	42.9382	342.0	265.0	4.34	5.48	17.0	1.0	4.07	0.0	0.0	377.0	344.0	91.25	16.0
9270	63.0	171.0	437.0	97.4489	459.0	39.9489	134.0	179.0	146.0	71.4171	6.0	3.8683	88.0	6.97	60.4386	128.0	170.0	0.0	4.63	19.0	2.0	2.75	0.0	0.0	429.0	265.0	61.77	17.0
9242	98.0	132.0	448.0	72.3885	483.0	27.0827	138.0	193.0	152.0	69.4456	12.0	8.1749	100.0	3.74	57.4114	870.0	58.0	0.0	6.35	24.0	1.0	2.12	0.0	0.0	660.0	604.0	91.52	20.0
7283	89.0	118.0	454.0	86.7731	454.0	19.8323	139.0	126.0	189.0	68.0623	4.0	2.2873	88.0	4.37	56.1263	196.0	308.0	15.26	5.43	22.0	0.0	5.88	0.0	0.0	348.0	304.0	87.36	19.0
67	68.0	186.0	461.0	60.5639	474.0	43.4715	158.0	176.0	140.0	60.6836	5.0	2.9889	98.0	6.64	56.8054	256.0	470.0	0.0	4.44	17.0	0.0	3.51	0.0	0.0	473.0	201.0	42.49	24.0
1231	120.0	136.0	453.0	106.3772	459.0	9.3497	146.0	131.0	182.0	77.7319	5.0	5.3598	116.0	8.86	61.5191	233.0	562.0	0.0	3.46	42.0	0.0	14.36	0.0	0.0	370.0	162.0	43.78	15.0
595	84.0	202.0	480.0	82.9973	492.0	18.3895	154.0	200.0	138.0	64.6731	0.0	1.8575	114.0	17.72	62.4626	121.0	414.0	0.0	4.17	40.0	0.0	18.57	0.0	0.0	455.0	181.0	39.78	20.0
7813	76.0	116.0	497.0	62.2128	521.0	3.155	151.0	162.0	208.0	78.4743	7.0	3.9261	81.0	19.45	61.0032	920.0	108.0	15.37	2.6	17.0	0.0	18.78	0.0	0.0	666.0	590.0	88.59	18.0
2778	43.0	163.0	452.0	77.0746	466.0	6.0071	141.0	159.0	166.0	69.9683	0.0	3.3418	71.0	4.24	62.0396	560.0	290.0	0.0	3.68	14.0	0.0	3.62	0.0	0.0	567.0	423.0	74.6	20.0
3859	93.0	199.0	458.0	116.228	461.0	10.5356	134.0	160.0	167.0	67.8274	10.0	2.8824	121.0	27.53	54.4711	430.0	254.0	0.0	0.15	10.0	0.0	27.8	0.0	0.0	553.0	178.0	32.19	33.0
6698	153.0	137.0	453.0	92.8048	479.0	69.037	163.0	174.0	142.0	75.5959	0.0	4.1464	142.0	11.63	62.0006	1030.0	188.0	58.8	5.97	4.0	0.0	8.97	0.0	0.0	742.0	545.0	73.45	18.0
172	73.0	134.0	446.0	89.4156	446.0	27.8196	148.0	139.0	159.0	86.6774	5.0	1.7925	84.0	5.6	60.5513	172.0	225.0	8.49	4.92	30.0	1.0	4.05	0.0	0.0	396.0	244.0	61.62	16.0
5574	107.0	160.0	495.0	69.8436	534.0	9.4164	174.0	176.0	184.0	53.9362	3.0	3.0461	118.0	5.54	54.5027	1060.0	165.0	46.04	4.1	27.0	1.0	4.12	0.0	0.0	782.0	585.0	74.81	18.0
8446	75.0	141.0	447.0	80.323	465.0	58.1792	154.0	160.0	151.0	48.209	0.0	1.9382	82.0	5.82	47.0773	56.0	285.0	33.29	4.1	28.0	0.0	7.24	0.0	0.0	355.0	169.0	47.61	19.0
9920	47.0	108.0	438.0	109.9181	469.0	31.1266	140.0	197.0	132.0	58.6331	6.0	3.229	56.0	17.68	50.2592	155.0	185.0	3.91	2.84	43.0	0.0	22.32	0.0	0.0	308.0	150.0	48.7	12.0
2897	124.0	176.0	421.0	102.6732	430.0	36.1166	132.0	164.0	134.0	83.9983	0.0	1.457	130.0	4.59	56.1319	163.0	64.0	10.18	3.19	36.0	0.0	3.3	0.0	0.0	434.0	155.0	35.71	23.0
8417	79.0	148.0	458.0	134.5475	458.0	13.8099	133.0	183.0	142.0	79.9191	11.0	3.4112	89.0	6.29	47.7488	150.0	132.0	6.91	5.07	14.0	0.0	6.26	0.0	0.0	420.0	363.0	86.43	24.0
5615	57.0	201.0	475.0	149.4012	481.0	14.5445	149.0	144.0	188.0	69.2282	0.0	1.5597	92.0	19.15	41.1406	770.0	208.0	32.7	1.75	19.0	0.0	14.86	0.0	0.0	691.0	459.0	66.43	27.0
7621	84.0	180.0	449.0	76.7133	469.0	21.9894	137.0	165.0	167.0	76.2797	9.0	1.1191	105.0	6.7	51.8284	150.0	197.0	0.0	5.26	8.0	2.0	2.27	0.0	0.0	436.0	72.0	16.51	22.0
4111	77.0	131.0	443.0	94.7949	479.0	48.4064	155.0	137.0	187.0	65.5818	9.0	4.0601	85.0	9.09	39.2368	291.0	110.0	22.17	4.47	23.0	0.0	18.47	0.0	0.0	406.0	257.0	63.3	16.0
5883	110.0	189.0	452.0	148.9949	458.0	19.1154	146.0	191.0	121.0	51.7547	9.0	3.3162	126.0	6.48	48.8042	225.0	87.0	0.0	6.18	2.0	3.0	1.23	0.0	0.0	458.0	312.0	68.12	24.0
5166	91.0	153.0	493.0	76.2718	517.0	50.8491	166.0	190.0	161.0	59.6719	0.0	4.9834	103.0	41.6	63.0412	990.0	85.0	6.57	3.09	38.0	0.0	6.46	0.0	0.0	756.0	417.0	55.16	17.0
9455	65.0	164.0	475.0	86.4614	507.0	44.2542	151.0	159.0	197.0	65.1648	0.0	4.7477	88.0	3.12	44.6915	1240.0	312.0	17.4	4.02	20.0	3.0	0.59	0.0	0.0	861.0	630.0	73.17	18.0
8295	68.0	226.0	456.0	72.7971	472.0	43.6585	156.0	190.0	126.0	55.2256	8.0	1.1876	109.0	28.56	57.8852	610.0	330.0	0.0	0.0	28.0	0.0	43.51	23.0	18.18	666.0	512.0	76.88	30.0
6548	66.0	174.0	454.0	126.7158	484.0	33.9145	137.0	175.0	172.0	74.1271	5.0	2.8334	93.0	19.38	42.3126	213.0	224.0	0.0	1.3	27.0	2.0	4.45	22.0	21.58	435.0	175.0	40.23	22.0
4182	80.0	145.0	473.0	77.9662	480.0	21.5116	146.0	205.0	129.0	76.3957	6.0	5.9793	90.0	15.49	60.676	115.0	443.0	0.0	2.64	3.0	1.0	4.41	0.0	0.0	374.0	197.0	52.67	18.0
6963	53.0	138.0	443.0	87.734	453.0	57.3794	139.0	182.0	132.0	82.7446	8.0	2.0675	67.0	12.2	39.4842	570.0	62.0	0.0	5.65	32.0	5.0	2.38	0.0	0.0	541.0	455.0	84.1	17.0
8428	55.0	138.0	444.0	110.214	444.0	50.4672	146.0	171.0	127.0	63.9418	5.0	1.1458	69.0	7.57	52.6695	297.0	50.0	35.2	5.77	23.0	2.0	4.29	0.0	0.0	448.0	300.0	66.96	25.0
3936	87.0	172.0	461.0	107.9948	479.0	31.3033	154.0	195.0	130.0	77.4977	7.0	2.0196	106.0	18.54	48.5645	426.0	269.0	11.48	2.85	13.0	2.0	5.94	0.0	0.0	488.0	303.0	62.09	22.0
5477	75.0	152.0	479.0	83.8057	508.0	39.741	162.0	162.0	184.0	68.4446	3.0	3.8601	90.0	7.3	55.0763	760.0	479.0	26.98	4.85	37.0	0.0	5.94	17.0	26.16	616.0	482.0	78.25	16.0
6651	42.0	215.0	467.0	111.6163	471.0	43.6836	148.0	176.0	147.0	77.3754	10.0	3.4465	88.0	7.72	47.0001	259.0	347.0	2.92	4.65	18.0	0.0	13.21	0.0	0.0	497.0	319.0	64.19	26.0
7925	108.0	253.0	442.0	83.4565	442.0	36.4712	134.0	155.0	153.0	62.967	2.0	5.5254	149.0	15.72	61.7608	180.0	192.0	0.12	3.24	16.0	0.0	26.27	30.0	37.71	505.0	247.0	48.91	29.0
9585	130.0	156.0	462.0	121.1028	464.0	28.8647	153.0	167.0	144.0	51.9619	0.0	1.9894	132.0	10.18	58.4846	297.0	87.0	15.8	4.86	21.0	0.0	7.16	0.0	0.0	464.0	115.0	24.78	21.0
4204	144.0	214.0	474.0	61.3994	497.0	14.2649	154.0	192.0	151.0	68.9477	3.0	3.6576	164.0	17.99	55.6605	276.0	309.0	0.0	1.74	1.0	0.0	26.35	0.0	0.0	529.0	290.0	54.82	24.0
2112	91.0	124.0	438.0	130.837	450.0	11.695	134.0	187.0	129.0	61.6885	5.0	3.7394	92.0	12.62	49.1455	680.0	323.0	26.98	3.69	16.0	0.0	20.82	0.0	0.0	575.0	358.0	62.26	11.0
1807	61.0	239.0	467.0	86.617	512.0	15.7093	169.0	149.0	194.0	79.1288	0.0	2.4511	109.0	13.12	42.2876	690.0	117.0	18.19	6.24	3.0	0.0	13.85	0.0	0.0	712.0	630.0	88.48	28.0
8620	91.0	127.0	439.0	117.8018	454.0	19.1119	159.0	176.0	119.0	76.742	4.0	2.3698	96.0	8.31	49.6686	860.0	109.0	0.0	4.29	1.0	0.0	7.53	0.0	0.0	621.0	238.0	38.33	14.0
8994	102.0	174.0	469.0	86.0112	489.0	36.5776	157.0	187.0	145.0	60.6151	10.0	2.4521	117.0	23.01	57.3837	193.0	299.0	0.0	0.0	21.0	2.0	10.66	0.0	0.0	443.0	122.0	27.54	19.0
3799	122.0	156.0	461.0	83.0206	476.0	21.7824	154.0	196.0	126.0	68.1707	8.0	4.039	124.0	16.39	59.9601	113.0	251.0	0.0	1.58	21.0	0.0	20.05	21.0	25.32	381.0	222.0	58.27	18.0
4790	143.0	168.0	475.0	155.4981	493.0	14.7947	153.0	176.0	164.0	81.3845	2.0	3.4399	148.0	25.42	45.52	720.0	193.0	8.22	2.86	30.0	1.0	13.87	0.0	0.0	654.0	567.0	86.7	27.0
9914	60.0	186.0	453.0	96.8884	481.0	30.2256	144.0	196.0	141.0	70.7979	5.0	1.8552	91.0	22.38	51.2901	930.0	99.0	5.34	0.76	27.0	0.0	29.55	0.0	0.0	740.0	672.0	90.81	26.0
3764	74.0	128.0	444.0	78.7842	444.0	28.122	137.0	158.0	149.0	68.2876	7.0	6.1687	77.0	4.51	51.5133	89.0	149.0	0.0	2.12	5.0	0.0	4.62	10.0	18.07	307.0	199.0	64.82	17.0
6218	154.0	185.0	432.0	123.5359	447.0	15.0861	155.0	130.0	162.0	68.1953	3.0	3.967	157.0	29.2	42.0176	430.0	221.0	0.0	0.23	18.0	0.0	51.56	0.0	0.0	530.0	286.0	53.96	26.0
1324	60.0	143.0	447.0	76.5725	486.0	38.9417	161.0	174.0	151.0	76.6954	3.0	1.8093	81.0	3.58	51.2041	1400.0	164.0	97.23	4.49	2.0	0.0	4.72	0.0	0.0	884.0	749.0	84.73	23.0
